date|time|description|vendor|amount
2020-05-15|10:30:00|Initial Startup Capital|Personal Savings|5000.00
2020-06-01|09:00:00|MacBook Pro Purchase|Apple|-2499.00
2020-08-12|14:00:00|Invoice Paid|Small Biz Solutions|1200.00
2021-01-10|10:00:00|New Year Site Hosting|Bluehost|-150.00
2021-03-25|16:45:00|Contract: UX Audit|Fintech Group|3500.00
2021-07-04|12:00:00|Business Cards|Vistaprint|-45.00
2021-11-20|09:15:00|Q4 Project Milestone|HealthApp|2200.00
2022-02-14|13:00:00|Monitor Upgrade|Best Buy|-450.00
2022-05-30|11:30:00|Invoice Paid|E-Com Store|1800.00
2022-09-12|08:45:00|Design Workshop Gear|Office Depot|-85.20
2022-12-01|10:00:00|Yearly Figma Plan|Figma|-144.00
2023-01-15|15:20:00|Deposit: App Strategy|AutoZone|4500.00
2023-04-20|12:00:00|Client Lunch|Chipotle|-35.60
2023-06-10|09:00:00|Retainer Payment|Legacy Corp|2000.00
2023-08-22|14:10:00|Stock Photos Pack|Adobe Stock|-29.99
2023-10-05|11:00:00|Research Participant Pay|Various Users|-500.00
2023-12-28|16:00:00|Annual Tax Prep|TurboTax|-99.00
2024-02-10|09:30:00|Project Launch Bonus|GreenTech|1000.00
2024-04-15|08:00:00|Quarterly Taxes|IRS|-1200.00
2024-06-12|13:45:00|Software Subscription|Notion|-120.00
2024-09-30|10:00:00|Final Invoice: Redesign|Travel Co|5500.00
2024-11-11|11:15:00|Coffee Meeting|Starbucks|-12.45
2025-01-05|09:00:00|Project Deposit|PetFind App|2500.00
2025-02-14|15:00:00|Desk Setup|IKEA|-350.00
2025-03-20|10:30:00|Invoice Paid|Local Gym|750.00
2025-05-01|12:00:00|Domain Renewal|Namecheap|-15.99
2025-07-18|09:00:00|Mid-Year Milestone|Education Plus|3000.00
2025-08-30|14:20:00|Conference Pass|UX Austin|-250.00
2025-10-12|11:00:00|Cloud Backup|iCloud|-9.99
2025-12-15|16:00:00|Holiday Referral Fee|J. Doe|150.00
2026-01-02|09:00:00|New Year Retainer|Legacy Corp|4000.00
2026-01-20|10:15:00|Hardware: Magic Mouse|Apple|-79.00
2026-02-05|13:00:00|Invoice Paid|Foodie App|1200.00
2026-02-28|15:45:00|Ink and Toner|Amazon|-65.00
2026-03-10|09:00:00|Project Deposit|Real Estate Pro|2000.00
2026-03-25|11:30:00|Late Fee Credit|Bank of America|35.00
2026-04-05|12:00:00|Business Dinner|Chick-fil-A|-22.50
2026-04-10|14:00:00|Second Installment|Real Estate Pro|2000.00
2026-04-15|08:30:00|Morning Workflow Fuel|Starbucks|-7.20
2026-04-25|16:00:00|Design Resource License|Creative Market|-45.00
2026-04-22|13:00:00|Ink and Paper|Office Depot|-55.00
2026-04-23|09:30:00|Client Referral Bonus|J. Smith|200.00
2026-04-24|15:15:00|Premium Stock Photos|Shutterstock|-29.00
2026-04-25|12:00:00|Quick Lunch|Whataburger|-14.30
2026-04-26|08:00:00|Domain Renewal|Namecheap|-12.99
2026-04-27|14:00:00|Final Payment: App Audit|TechStart Inc|2500.00
2026-04-28|10:00:00|Screen Recording Tool|Loom|-10.00
2026-04-29|16:45:00|Cloud Storage|iCloud|-9.99
2026-04-30|09:00:00|Deposit: Logo Concepts|StartupX|800.00
2026-05-01|10:15:00|Project Management Tool|Notion|-10.00
2026-05-01|12:00:00|Networking Coffee|Starbucks|-8.50
2026-05-02|14:00:00|Stock Video B-Roll|Envato|-33.00
2026-05-03|09:00:00|Milestone 2 Payment|Fintech App|1500.00
2026-05-04|11:30:00|Prototype Testing Ads|Meta Ads|-50.00
2026-05-05|13:00:00|Business Lunch|Chick-fil-A|-18.75
2026-05-06|15:00:00|Digital Portfolio Theme|Squarespace|-26.00
2026-05-07|10:00:00|Consulting Retainer|Legacy Corp|4000.00

